Date,Series,Value,Series,Value
4/16/2017,Volume Intensity,0.0007,Average Tone,1.762
4/17/2017,Volume Intensity,0.0002,Average Tone,-1.5267
4/18/2017,Volume Intensity,0,Average Tone,0
4/19/2017,Volume Intensity,0.0056,Average Tone,-2.7398
4/20/2017,Volume Intensity,0.0006,Average Tone,-2.5983
4/21/2017,Volume Intensity,0,Average Tone,0
4/22/2017,Volume Intensity,0,Average Tone,0
4/23/2017,Volume Intensity,0.0007,Average Tone,-3.0391
4/24/2017,Volume Intensity,0,Average Tone,0
4/25/2017,Volume Intensity,0,Average Tone,0
4/26/2017,Volume Intensity,0,Average Tone,0
4/27/2017,Volume Intensity,0.0002,Average Tone,-0.0113
4/28/2017,Volume Intensity,0.0003,Average Tone,-1.7131
4/29/2017,Volume Intensity,0,Average Tone,0
4/30/2017,Volume Intensity,0.0009,Average Tone,-2.1819
5/1/2017,Volume Intensity,0.0008,Average Tone,-2.3882
5/2/2017,Volume Intensity,0.0004,Average Tone,-1.9578
5/3/2017,Volume Intensity,0.0012,Average Tone,-5.0333
5/4/2017,Volume Intensity,0.0004,Average Tone,-2.9905
5/5/2017,Volume Intensity,0,Average Tone,0
5/6/2017,Volume Intensity,0,Average Tone,0
5/7/2017,Volume Intensity,0.0007,Average Tone,-1.5872
5/8/2017,Volume Intensity,0.0001,Average Tone,-1.995
5/9/2017,Volume Intensity,0.0007,Average Tone,-2.509
5/10/2017,Volume Intensity,0.0005,Average Tone,-2.3826
5/11/2017,Volume Intensity,0.0011,Average Tone,-1.3668
5/12/2017,Volume Intensity,0.0006,Average Tone,-1.8478
5/13/2017,Volume Intensity,0.0004,Average Tone,-0.5149
5/14/2017,Volume Intensity,0.0002,Average Tone,-4.4866
5/15/2017,Volume Intensity,0.0006,Average Tone,0.0364
5/16/2017,Volume Intensity,0.0001,Average Tone,-1.3369
5/17/2017,Volume Intensity,0.0001,Average Tone,-1.145
5/18/2017,Volume Intensity,0.0004,Average Tone,-3.8747
5/19/2017,Volume Intensity,0.0005,Average Tone,-1.867
5/20/2017,Volume Intensity,0.0004,Average Tone,-0.9864
5/21/2017,Volume Intensity,0.0005,Average Tone,-0.7173
5/22/2017,Volume Intensity,0.0004,Average Tone,-0.1896
5/23/2017,Volume Intensity,0,Average Tone,0
5/24/2017,Volume Intensity,0,Average Tone,0
5/25/2017,Volume Intensity,0.0003,Average Tone,-0.509
5/26/2017,Volume Intensity,0.0003,Average Tone,-4.7449
5/27/2017,Volume Intensity,0,Average Tone,0
5/28/2017,Volume Intensity,0.0002,Average Tone,-3.0637
5/29/2017,Volume Intensity,0.0002,Average Tone,-6.105
